epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,34.5729,1.45647,0.83885,1.03576,0.91653,0.92424,0.94549,0.5096,1.54318,0.81935,1.06785,0.000416,0.000416,0.000416
66,35.0854,1.54429,0.83554,1.0343,0.92131,0.93561,0.95309,0.51377,1.52825,0.81157,1.06346,0.00039125,0.00039125,0.00039125
67,35.6082,1.53381,0.8224,1.02702,0.92131,0.93561,0.95309,0.51377,1.52825,0.81157,1.06346,0.0003665,0.0003665,0.0003665
68,36.169,1.43833,0.77962,0.9978,0.93875,0.92883,0.96333,0.52294,1.51834,0.80536,1.05915,0.00034175,0.00034175,0.00034175
69,36.7266,1.47562,0.79276,1.02816,0.93875,0.92883,0.96333,0.52294,1.51834,0.80536,1.05915,0.000317,0.000317,0.000317
70,37.2296,1.47227,0.78974,1.01074,0.93514,0.92847,0.96502,0.53083,1.51284,0.80379,1.05691,0.00029225,0.00029225,0.00029225
71,52.2992,1.48085,1.11762,1.06689,0.93514,0.92847,0.96502,0.53083,1.51284,0.80379,1.05691,0.0002675,0.0002675,0.0002675
72,52.8552,1.45707,1.13793,1.02702,0.93566,0.92045,0.96163,0.53099,1.51313,0.79085,1.0578,0.00024275,0.00024275,0.00024275
73,53.3599,1.42002,0.96221,1.02649,0.93566,0.92045,0.96163,0.53099,1.51313,0.79085,1.0578,0.000218,0.000218,0.000218
74,53.8628,1.48073,1.12119,1.07303,0.92703,0.91434,0.95093,0.52212,1.53217,0.79486,1.06397,0.00019325,0.00019325,0.00019325
75,54.3237,1.43104,0.93157,1.07237,0.92703,0.91434,0.95093,0.52212,1.53217,0.79486,1.06397,0.0001685,0.0001685,0.0001685
76,54.8131,1.52685,1.04028,1.0407,0.88612,0.91288,0.94042,0.51209,1.55445,0.8268,1.07311,0.00014375,0.00014375,0.00014375
77,55.3354,1.44639,0.94497,1.04881,0.88612,0.91288,0.94042,0.51209,1.55445,0.8268,1.07311,0.000119,0.000119,0.000119
78,55.8199,1.48664,0.94752,1.05425,0.85414,0.90941,0.93352,0.50869,1.55227,0.86174,1.07467,9.425e-05,9.425e-05,9.425e-05
79,56.2992,1.42964,0.94275,1.05581,0.85414,0.90941,0.93352,0.50869,1.55227,0.86174,1.07467,6.95e-05,6.95e-05,6.95e-05
80,56.836,1.40338,0.8966,1.07526,0.849,0.91576,0.93125,0.50956,1.54188,0.88117,1.07278,4.475e-05,4.475e-05,4.475e-05
